Iteration,Discriminator Loss,Generator Loss
4660,0.752619,0.327274
4670,1.291534,0.440661
4680,1.225402,0.440834
4690,1.308330,1.065113
4700,1.255045,0.897599
4710,1.243638,0.393022
4720,1.058273,0.402261
4730,1.222050,0.712680
4740,1.594691,0.484135
4750,1.544430,0.403489
4760,1.244154,0.676951
4770,1.212354,0.811828
4780,1.437442,0.436819
4790,1.381460,0.628349
4800,1.244074,0.917823
4810,1.269249,0.803305
4820,0.974875,0.335814
4830,1.188095,0.874611
4840,0.918622,0.406839
4850,1.023759,0.389479
4860,1.237296,0.796435
4870,1.255656,0.761908
4880,0.922145,0.392393
4890,1.248902,0.702126
4900,1.125097,0.440926
4910,1.310567,0.579684
4920,1.280582,0.639886
4930,1.167833,0.795921
4940,1.266508,0.862062
4950,1.279343,0.588235
4960,1.171551,0.328598
4970,1.280746,1.054562
4980,1.158635,0.433751
4990,1.147751,0.537387
5000,1.267640,0.724680
5010,1.125252,0.232778
5020,0.997439,0.448580
5030,1.184529,0.657641
5040,1.341625,0.461815
5050,1.116269,0.725340
5060,1.085047,0.332823
5070,0.957693,0.331243
5080,1.236200,0.615364
5090,1.618987,0.388300
5100,0.824185,0.477048
5110,0.803959,0.236084
5120,1.295038,0.720557
5130,1.127903,0.241252
5140,1.179172,0.578498
5150,1.154228,1.150318
5160,1.136337,0.411222
5170,1.290271,0.520688
5180,0.859931,0.201824
5190,1.246025,0.801754
5200,1.014111,0.334125
5210,1.145336,0.642842
5220,1.266479,0.339714
5230,1.203602,1.394247
5240,1.286754,1.005615
5250,1.423365,0.268366
5260,1.297811,0.929088
5270,1.367600,0.595262
5280,1.041354,0.441859
5290,1.316587,0.641391
5300,1.187594,0.602796
5310,1.225219,0.814761
5320,1.024736,0.308113
5330,1.153491,0.229162
5340,1.301407,0.758262
5350,0.893145,0.286512
5360,1.310401,0.335254
5370,1.244465,0.552253
5380,1.228620,0.340711
5390,1.223384,0.724625
5400,1.206554,0.269406
5410,1.196578,0.667394
5420,0.965255,0.465139
5430,1.224720,0.578638
5440,1.076848,0.297844
5450,1.623616,0.463735
